{'n_hidden_layers': 3, 'n_neurons': 350, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.05, 'batch_size': 300, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x00000213B22AFD90>, 'dropout_rate': 0.3, 'conv1': {'conv1_fmaps': 16, 'conv1_ksize': 5, 'conv1_stride': 1, 'conv1_dropout': 0.1, 'conv1_activation': <function elu at 0x00000213B6A2EA60>}, 'conv2': {'conv2_fmaps': 16, 'conv2_ksize': 5, 'conv2_stride': 1, 'conv2_dropout': 0.1, 'conv2_activation': <function elu at 0x00000213B6A2EA60>}, 'architecture': 2, 'accuracy_rate': 0.95882351398468013}
{'n_hidden_layers': 5, 'n_neurons': 50, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.025, 'batch_size': 200, 'activation': <function elu at 0x00000213B6A2EA60>, 'dropout_rate': 0.4, 'conv1': {'conv1_fmaps': 16, 'conv1_ksize': 5, 'conv1_stride': 1, 'conv1_dropout': 0.1, 'conv1_activation': <function elu at 0x00000213B6A2EA60>}, 'conv2': {'conv2_fmaps': 16, 'conv2_ksize': 5, 'conv2_stride': 1, 'conv2_dropout': 0.1, 'conv2_activation': <function elu at 0x00000213B6A2EA60>}, 'architecture': 3, 'accuracy_rate': 0.87301039695739746}
{'n_hidden_layers': 7, 'n_neurons': 350, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.1, 'batch_size': 600, 'activation': <function elu at 0x00000213B6A2EA60>, 'dropout_rate': 0.4, 'conv1': {'conv1_fmaps': 16, 'conv1_ksize': 5, 'conv1_stride': 1, 'conv1_dropout': 0.3, 'conv1_activation': <function relu at 0x00000213B6A4FA60>}, 'conv2': {'conv2_fmaps': 16, 'conv2_ksize': 5, 'conv2_stride': 1, 'conv2_dropout': 0.3, 'conv2_activation': <function relu at 0x00000213B6A4FA60>}, 'architecture': 1, 'accuracy_rate': 0.85467129945755005}
{'n_hidden_layers': 5, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.025, 'batch_size': 200, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x00000213B22AFD90>, 'dropout_rate': 1e-06, 'conv1': {'conv1_fmaps': 16, 'conv1_ksize': 5, 'conv1_stride': 1, 'conv1_dropout': 0.3, 'conv1_activation': <function relu at 0x00000213B6A4FA60>}, 'conv2': {'conv2_fmaps': 16, 'conv2_ksize': 5, 'conv2_stride': 1, 'conv2_dropout': 0.1, 'conv2_activation': <function elu at 0x00000213B6A2EA60>}, 'architecture': 3, 'accuracy_rate': 0.94152250289916994}
{'n_hidden_layers': 3, 'n_neurons': 150, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.025, 'batch_size': 400, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x00000213B22AFD90>, 'dropout_rate': 0.3, 'conv1': {'conv1_fmaps': 16, 'conv1_ksize': 5, 'conv1_stride': 1, 'conv1_dropout': 0.3, 'conv1_activation': <function relu at 0x00000213B6A4FA60>}, 'conv2': {'conv2_fmaps': 16, 'conv2_ksize': 5, 'conv2_stride': 1, 'conv2_dropout': 0.1, 'conv2_activation': <function elu at 0x00000213B6A2EA60>}, 'architecture': 1, 'accuracy_rate': 0.92387543916702275}
{'n_hidden_layers': 2, 'n_neurons': 400, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.01, 'batch_size': 200, 'activation': <function elu at 0x00000213B6A2EA60>, 'dropout_rate': 1e-06, 'conv1': {'conv1_fmaps': 16, 'conv1_ksize': 5, 'conv1_stride': 1, 'conv1_dropout': 0.1, 'conv1_activation': <function elu at 0x00000213B6A2EA60>}, 'conv2': {'conv2_fmaps': 16, 'conv2_ksize': 5, 'conv2_stride': 1, 'conv2_dropout': 0.1, 'conv2_activation': <function elu at 0x00000213B6A2EA60>}, 'architecture': 4, 'accuracy_rate': 0.92387545108795166}
{'n_hidden_layers': 2, 'n_neurons': 150, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.05, 'batch_size': 250, 'activation': <function elu at 0x00000213B6A2EA60>, 'dropout_rate': 0.3, 'conv1': {'conv1_fmaps': 16, 'conv1_ksize': 5, 'conv1_stride': 1, 'conv1_dropout': 0.3, 'conv1_activation': <function relu at 0x00000213B6A4FA60>}, 'conv2': {'conv2_fmaps': 16, 'conv2_ksize': 5, 'conv2_stride': 1, 'conv2_dropout': 0.1, 'conv2_activation': <function elu at 0x00000213B6A2EA60>}, 'architecture': 3, 'accuracy_rate': 0.95190312862396242}
{'n_hidden_layers': 1, 'n_neurons': 450, 'optimizer_class': <class 'tensorflow.python.training.adam.AdamOptimizer'>, 'learning_rate': 0.1, 'batch_size': 200, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x00000213B22AFD90>, 'dropout_rate': 0.4, 'conv1': {'conv1_fmaps': 16, 'conv1_ksize': 5, 'conv1_stride': 1, 'conv1_dropout': 0.2, 'conv1_activation': <function relu at 0x00000213B6A4FA60>}, 'conv2': {'conv2_fmaps': 16, 'conv2_ksize': 5, 'conv2_stride': 1, 'conv2_dropout': 0.3, 'conv2_activation': <function relu at 0x00000213B6A4FA60>}, 'architecture': 2, 'accuracy_rate': 0.94221452474594114}
{'n_hidden_layers': 9, 'n_neurons': 400, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.05, 'batch_size': 300, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x00000213B22AFD90>, 'dropout_rate': 0.4, 'conv1': {'conv1_fmaps': 16, 'conv1_ksize': 5, 'conv1_stride': 1, 'conv1_dropout': 0.3, 'conv1_activation': <function relu at 0x00000213B6A4FA60>}, 'conv2': {'conv2_fmaps': 16, 'conv2_ksize': 5, 'conv2_stride': 1, 'conv2_dropout': 0.2, 'conv2_activation': <function relu at 0x00000213B6A4FA60>}, 'architecture': 1, 'accuracy_rate': 0.88546715974807744}
{'n_hidden_layers': 1, 'n_neurons': 300, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.05, 'batch_size': 250, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x00000213B22AFD90>, 'dropout_rate': 1e-06, 'conv1': {'conv1_fmaps': 16, 'conv1_ksize': 5, 'conv1_stride': 1, 'conv1_dropout': 0.3, 'conv1_activation': <function relu at 0x00000213B6A4FA60>}, 'conv2': {'conv2_fmaps': 16, 'conv2_ksize': 5, 'conv2_stride': 1, 'conv2_dropout': 0.3, 'conv2_activation': <function relu at 0x00000213B6A4FA60>}, 'architecture': 1, 'accuracy_rate': 0.96920411586761479}
{'n_hidden_layers': 5, 'n_neurons': 150, 'optimizer_class': <class 'tensorflow.python.training.adagrad.AdagradOptimizer'>, 'learning_rate': 0.01, 'batch_size': 600, 'activation': <function leaky_relu.<locals>.parametrized_leaky_relu at 0x00000213B22AFD90>, 'dropout_rate': 1e-06, 'conv1': {'conv1_fmaps': 16, 'conv1_ksize': 5, 'conv1_stride': 1, 'conv1_dropout': 0.1, 'conv1_activation': <function elu at 0x00000213B6A2EA60>}, 'conv2': {'conv2_fmaps': 16, 'conv2_ksize': 5, 'conv2_stride': 1, 'conv2_dropout': 0.1, 'conv2_activation': <function elu at 0x00000213B6A2EA60>}, 'architecture': 3, 'accuracy_rate': 0.9356401681900024}
